Longitude,Latitude,xxx
100.190907,5.281808,0
100.191144,5.281884,0
100.192505,5.28216,0
100.193114,5.282204,0
100.193938,5.282302,0
100.194683,5.282339,0
100.197202,5.282394,0
100.197979,5.282384,0
100.198195,5.282317,0
100.198416,5.282206,0
100.198506,5.282146,0
100.198574,5.282079,0
100.198705,5.281886,0
100.198842,5.281515,0
100.198901,5.2814,0
100.199046,5.281271,0
100.199199,5.281162,0
100.199285,5.281123,0
100.19938,5.28112,0
100.199644,5.281194,0
100.199882,5.281201,0
100.200012,5.281168,0
100.200131,5.281096,0
100.200167,5.281057,0
100.200402,5.280659,0
100.200834,5.28015,0
100.200929,5.280046,0
100.201066,5.27996,0
100.201229,5.279883,0
100.201659,5.27973,0
100.202045,5.279631,0
100.202229,5.279636,0
100.202515,5.279717,0
100.202644,5.279703,0
100.202707,5.279671,0
100.202861,5.279531,0
100.203001,5.279331,0
100.20309,5.27923,0
100.203288,5.279085,0
100.203423,5.279035,0
100.203495,5.279029,0
100.203632,5.279058,0
100.203883,5.279174,0
100.204155,5.279194,0
100.20443,5.279233,0
100.204685,5.2792,0
100.205195,5.279047,0
100.205386,5.279042,0
100.205492,5.27909,0
100.205607,5.279164,0
100.205873,5.279433,0
100.206015,5.279617,0
100.206028,5.279692,0
100.206032,5.279948,0
100.206095,5.280232,0
100.206166,5.280447,0
100.20628,5.280622,0
100.20635,5.280697,0
100.206533,5.280813,0
100.206756,5.280899,0
100.206976,5.281017,0
100.207075,5.281088,0
100.207255,5.281252,0
100.207406,5.281426,0
100.207488,5.281493,0
100.20757,5.28153,0
100.207797,5.281568,0
100.208136,5.281704,0
100.208616,5.281992,0
100.2088,5.282138,0
100.208871,5.28222,0
100.208916,5.282315,0
100.208977,5.282528,0
100.209041,5.2829,0
100.209093,5.283379,0
100.209109,5.283425,0
100.209138,5.283457,0
100.209189,5.283462,0
100.209256,5.283443,0
100.209392,5.283305,0
100.209466,5.283179,0
100.209528,5.283003,0
100.209585,5.282919,0
100.209648,5.282858,0
100.209739,5.282829,0
100.210013,5.28282,0
100.210051,5.282806,0
100.210092,5.282767,0
100.210244,5.282537,0
100.210311,5.282477,0
100.210428,5.282439,0
100.210747,5.282472,0
100.21093,5.282449,0
100.211182,5.282389,0
100.211363,5.282383,0
100.211517,5.282416,0
100.211598,5.282457,0
100.211666,5.282517,0
100.211741,5.282662,0
100.211872,5.283016,0
100.211918,5.283061,0
100.211985,5.283076,0
100.212118,5.283054,0
100.212278,5.282948,0
100.212387,5.282744,0
100.212487,5.282652,0
100.212961,5.28238,0
100.21302,5.282354,0
100.213146,5.282333,0
100.213266,5.282335,0
100.213514,5.282383,0
100.213629,5.282447,0
100.213775,5.282573,0
100.213843,5.282603,0
100.214003,5.282603,0
100.214447,5.282438,0
100.214584,5.282415,0
100.214661,5.282424,0
100.214882,5.28249,0
100.215286,5.282632,0
100.215823,5.282757,0
100.216377,5.283052,0
100.217166,5.28334,0
100.217485,5.283474,0
100.21799,5.283715,0
100.218509,5.283997,0
100.219296,5.284563,0
100.220093,5.285282,0
100.220468,5.285677,0
100.220595,5.285857,0
100.220697,5.286094,0
100.220864,5.286811,0
100.220894,5.286894,0
100.220967,5.287025,0
100.221033,5.287129,0
100.221483,5.287692,0
100.221649,5.287821,0
100.221803,5.287894,0
100.221971,5.287937,0
100.222182,5.287949,0
100.222749,5.287923,0
100.224524,5.287898,0
100.224837,5.287926,0
100.225118,5.28798,0
100.226116,5.288228,0
100.226498,5.288275,0
100.226732,5.28827,0
100.227069,5.288243,0
100.229235,5.287856,0
100.229761,5.287724,0
100.229964,5.287655,0
100.230319,5.287497,0
100.230555,5.287418,0
100.230766,5.287395,0
100.230829,5.287406,0
100.230937,5.28746,0
100.23154,5.287815,0
100.232058,5.288025,0
100.232287,5.287787,0
100.232499,5.287596,0
100.232648,5.287492,0
100.232847,5.28738,0
100.233384,5.287111,0
100.233707,5.28697,0
100.2342,5.286788,0
100.235006,5.286524,0
100.235191,5.286488,0
100.235359,5.286499,0
100.235549,5.286535,0
100.235876,5.286649,0
100.23603,5.286666,0
100.236183,5.286651,0
100.237268,5.286276,0
100.238687,5.285876,0
100.238744,5.285904,0
100.239208,5.285908,0
100.239948,5.285946,0
100.240203,5.286003,0
100.240442,5.286091,0
100.241287,5.286635,0
100.24225,5.287173,0
100.242705,5.2874,0
100.243077,5.28751,0
100.243356,5.287567,0
100.243441,5.287534,0
100.243778,5.287582,0
100.244383,5.287628,0
100.244651,5.287697,0
100.244909,5.287793,0
100.245695,5.288157,0
100.246483,5.288471,0
100.247184,5.288723,0
100.247838,5.288927,0
100.248388,5.289159,0
100.248674,5.289355,0
100.249018,5.28968,0
100.249126,5.289825,0
100.249207,5.289966,0
100.249643,5.290902,0
100.24974,5.291062,0
100.250094,5.291441,0
100.250441,5.291848,0
100.250886,5.292493,0
100.250958,5.29262,0
100.251012,5.292768,0
100.251091,5.293124,0
100.251148,5.293256,0
100.251206,5.293345,0
100.251288,5.293423,0
100.251393,5.293492,0
100.251887,5.293751,0
100.252047,5.293804,0
100.252646,5.293928,0
100.252747,5.293964,0
100.253084,5.294135,0
100.253325,5.294144,0
100.254017,5.29405,0
100.254427,5.293978,0
100.254592,5.293978,0
100.254854,5.294042,0
100.255438,5.294256,0
100.255605,5.294301,0
100.256701,5.294431,0
100.257303,5.294516,0
100.258665,5.294668,0
100.259558,5.294853,0
100.259304,5.295235,0
100.259228,5.295369,0
100.259135,5.29559,0
100.259123,5.29586,0
100.259162,5.296033,0
100.25922,5.296186,0
100.259359,5.296405,0
100.259538,5.296641,0
100.259711,5.296712,0
100.260022,5.296772,0
100.260262,5.296842,0
100.260521,5.29695,0
100.260647,5.297026,0
100.260736,5.297106,0
100.261175,5.297567,0
100.261408,5.297897,0
100.261707,5.298405,0
100.262002,5.299159,0
100.262192,5.299555,0
100.262218,5.299728,0
100.262224,5.299937,0
100.262177,5.30068,0
100.262116,5.300741,0
100.262069,5.300991,0
100.26198,5.301531,0
100.261864,5.302398,0
100.261862,5.302645,0
100.261888,5.302893,0
100.261999,5.303245,0
100.262082,5.303442,0
100.262326,5.303838,0
100.263201,5.305034,0
100.263744,5.305843,0
100.264223,5.306598,0
100.264519,5.307214,0
100.264591,5.307271,0
100.264701,5.307563,0
100.265207,5.308696,0
100.265539,5.309562,0
100.265672,5.309997,0
100.265762,5.310379,0
100.26582,5.310721,0
100.265872,5.311239,0
100.265882,5.311656,0
100.265809,5.312656,0
100.26582,5.313154,0
100.265872,5.313915,0
100.265946,5.314308,0
100.265984,5.31444,0
100.266062,5.314622,0
100.266221,5.314869,0
100.266594,5.31534,0
100.266848,5.315616,0
100.267141,5.315991,0
100.267843,5.316837,0
100.268137,5.317233,0
100.26864,5.31807,0
100.268922,5.31846,0
100.26906,5.318589,0
100.269219,5.318694,0
100.269689,5.318896,0
100.270007,5.319081,0
100.270231,5.319238,0
100.270596,5.319463,0
100.270808,5.319647,0
100.271048,5.319946,0
100.271165,5.320205,0
100.271345,5.320758,0
100.271508,5.321706,0
100.271678,5.322438,0
100.27188,5.323159,0
100.271948,5.323453,0
100.271957,5.323672,0
100.271882,5.324382,0
100.272591,5.32437,0
100.272761,5.324344,0
100.2732,5.324143,0
100.273597,5.323929,0
100.274356,5.323558,0
100.275541,5.322952,0
100.277047,5.322278,0
100.277245,5.322148,0
100.278818,5.321351,0
100.279511,5.320984,0
100.279979,5.320866,0
100.281199,5.32069,0
100.281281,5.320743,0
100.281463,5.320913,0
100.28151,5.321919,0
100.281544,5.323566,0
100.281574,5.323841,0
100.281904,5.323769,0
100.282131,5.323774,0
100.283325,5.323724,0
100.283956,5.323713,0
100.284253,5.323692,0
100.284604,5.323622,0
100.286787,5.323047,0
100.286109,5.321377,0
100.285758,5.320603,0
100.285474,5.319823,0
100.284875,5.320062,0
100.284725,5.320099,0
100.284583,5.320178,0
100.2828,5.320521,0
100.282327,5.320553,0
100.282136,5.320579,0
100.282024,5.320546,0
100.281275,5.3206,0
100.280411,5.320703,0
100.279547,5.320846,0
100.278954,5.32114,0
100.276924,5.322222,0
100.277005,5.322633,0
100.27741,5.324331,0
100.277764,5.325964,0
100.278013,5.327022,0
100.278122,5.327631,0
100.278199,5.327977,0
100.278521,5.327923,0
100.28036,5.327551,0
100.281506,5.327405,0
100.281774,5.327355,0
100.281761,5.327254,0
100.281423,5.327285,0
100.280332,5.327434,0
100.278178,5.327871,0
100.278382,5.328722,0
100.278536,5.329099,0
100.278641,5.329306,0
100.278948,5.329759,0
100.279109,5.329972,0
100.279348,5.330235,0
100.279641,5.330481,0
100.280178,5.330756,0
100.280538,5.330881,0
100.281615,5.331192,0
100.282432,5.331446,0
100.282922,5.331571,0
100.283116,5.331608,0
100.285446,5.332264,0
100.286626,5.332546,0
100.286628,5.332584,0
100.286644,5.332607,0
100.286809,5.332695,0
100.286868,5.332809,0
100.286854,5.332882,0
100.286749,5.332968,0
100.286715,5.33304,0
100.286749,5.332968,0
100.286854,5.332882,0
100.286868,5.332809,0
100.286809,5.332695,0
100.286644,5.332607,0
100.286628,5.332584,0
100.286626,5.332546,0
100.287927,5.332848,0
100.288384,5.332898,0
100.288708,5.3329,0
100.290022,5.33277,0
100.291613,5.332523,0
100.292946,5.33228,0
100.294168,5.332034,0
100.294361,5.332046,0
100.294739,5.332151,0
100.294819,5.332161,0
100.294977,5.332243,0
100.295126,5.33228,0
100.29522,5.332285,0
100.295406,5.332253,0
100.295493,5.332217,0
100.295646,5.332108,0
100.295737,5.331998,0
100.295857,5.331785,0
100.295967,5.331682,0
100.296352,5.331503,0
100.299999,5.33036,0
100.300355,5.330289,0
100.300554,5.330263,0
100.30071,5.330262,0
100.301293,5.330289,0
100.301479,5.330309,0
100.301754,5.330361,0
100.301998,5.330385,0
100.302412,5.330453,0
100.30267,5.33051,0
100.302917,5.330594,0
100.303105,5.330684,0
100.303402,5.330872,0
100.303893,5.331215,0
100.304119,5.331337,0
100.304374,5.331437,0
100.304648,5.3315,0
100.304848,5.331523,0
100.305221,5.331529,0
100.305838,5.331513,0
100.306041,5.331486,0
100.30633,5.331394,0
100.306547,5.331263,0
100.306728,5.331086,0
100.306862,5.330875,0
100.306911,5.330758,0
100.306948,5.330606,0
100.307009,5.330519,0
100.307016,5.330282,0
100.306987,5.330044,0
100.306916,5.32982,0
100.306908,5.329667,0
100.306647,5.329121,0
100.306501,5.328851,0
100.306401,5.328585,0
100.306386,5.32845,0
100.306412,5.328335,0
100.306468,5.32826,0
100.306595,5.328168,0
100.306665,5.328204,0
100.306796,5.328206,0
100.306888,5.328169,0
100.306956,5.328107,0
100.307173,5.328286,0
100.307355,5.328518,0
100.307578,5.328863,0
100.307775,5.329222,0
100.307922,5.329527,0
100.308112,5.330003,0
100.308258,5.330441,0
100.30837,5.330949,0
100.308399,5.331224,0
100.308388,5.331432,0
100.308339,5.331484,0
100.30831,5.331547,0
100.308216,5.331707,0
100.307739,5.332142,0
100.307567,5.332325,0
100.307375,5.33261,0
