Longitude,Latitude,xxx
100.3017049,5.3445085,0
100.3026894,5.3460517,0
100.3034164,5.3475948,0
100.3040361,5.3495919,0
100.3041742,5.3507827,0
100.3046558,5.3519736,0
100.305584,5.3527311,0
100.3067269,5.3533178,0
100.305805,5.3542543,0
100.304648,5.3542046,0
100.3032352,5.3532079,0
100.3023408,5.352881,0
100.2993932,5.3523552,0
100.2977038,5.3511542,0
100.2968998,5.3504185,0
100.2956353,5.3482634,0
100.2955524,5.3466879,0
100.2960517,5.3455025,0
100.2976082,5.3435802,0
100.299745,5.342513,0
100.30055,5.342084,0
100.30079,5.34196,0
100.301847,5.341355,0
100.302629,5.34088,0
100.302813,5.340729,0
100.303321,5.340219,0
100.303969,5.339646,0
100.304226,5.33947,0
100.304502,5.339311,0
100.304963,5.339115,0
100.308235,5.338081,0
100.308383,5.33806,0
100.308552,5.33809,0
100.308643,5.338128,0
100.308726,5.338132,0
100.308805,5.33811,0
100.308875,5.338065,0
100.308927,5.338002,0
100.30896,5.337909,0
100.308961,5.337837,0
100.30894,5.337753,0
100.308886,5.337682,0
100.308805,5.337626,0
100.308659,5.337608,0
100.308355,5.336911,0
100.308138,5.336522,0
100.307974,5.336269,0
100.307465,5.335623,0
100.307207,5.335261,0
100.307115,5.335043,0
100.307026,5.334749,0
100.306987,5.334564,0
100.306971,5.334341,0
100.306996,5.333926,0
100.307037,5.333688,0
100.30708,5.333547,0
100.307222,5.333152,0
100.307504,5.332611,0
100.30763,5.332417,0
100.307781,5.332241,0
100.308275,5.331815,0
100.308389,5.33177,0
100.308463,5.331804,0
100.308541,5.331809,0
100.308654,5.331758,0
100.30871,5.331677,0
100.308725,5.331601,0
100.308702,5.331507,0
100.308645,5.331438,0
100.308554,5.331395,0
100.308457,5.331399,0
100.308361,5.331457,0
100.30831,5.331547,0
100.308216,5.331707,0
100.307646,5.332232,0
100.307468,5.33246,0
100.3072,5.332948,0
100.307031,5.333358,0
100.306927,5.333688,0
100.306891,5.333922,0
100.306855,5.334433,0
100.306935,5.33485,0
100.307003,5.335084,0
100.306022,5.335461,0
100.305904,5.335322,0
100.305929,5.33414,0
100.305896,5.333665,0
100.305845,5.333315,0
100.305785,5.333021,0
100.305725,5.332829,0
100.305611,5.332578,0
100.305316,5.332039,0
100.304904,5.331452,0
100.304788,5.331332,0
100.304507,5.331108,0
100.304198,5.330901,0
100.303826,5.330689,0
100.303511,5.330536,0
100.303122,5.330383,0
100.302859,5.3303,0
100.302075,5.330123,0
100.301031,5.330034,0
100.300169,5.330176,0
100.299845,5.33025,0
100.298529,5.330661,0
100.296326,5.331318,0
100.296155,5.331382,0
100.296016,5.331402,0
100.295943,5.331394,0
100.295862,5.331375,0
100.29571,5.331276,0
100.295608,5.331167,0
100.295445,5.331073,0
100.295202,5.331023,0
100.295015,5.331052,0
100.294845,5.331135,0
100.294771,5.331195,0
100.294704,5.331262,0
100.294649,5.331351,0
100.294588,5.331514,0
100.294393,5.33173,0
100.294321,5.331794,0
100.294207,5.331859,0
100.294053,5.331913,0
100.292925,5.332181,0
100.291658,5.332435,0
100.290149,5.332668,0
100.28955,5.332744,0
100.288928,5.33278,0
100.288615,5.332784,0
100.287946,5.332696,0
100.286395,5.332376,0
100.28592,5.332294,0
100.285174,5.33212,0
100.28246,5.331318,0
100.281936,5.331192,0
100.280739,5.330843,0
100.280293,5.330706,0
100.280115,5.330629,0
100.279701,5.330397,0
100.279423,5.330162,0
100.279182,5.32992,0
100.278887,5.329546,0
100.278731,5.329291,0
100.278518,5.328837,0
100.278417,5.328557,0
100.278337,5.328208,0
100.278521,5.327923,0
100.28036,5.327551,0
100.281506,5.327405,0
100.281799,5.327347,0
100.28201,5.327321,0
100.282471,5.327223,0
100.283012,5.327174,0
100.28502,5.3271,0
100.287816,5.326949,0
100.287668,5.325748,0
100.287633,5.325563,0
100.287168,5.324093,0
100.286787,5.323047,0
100.284604,5.323622,0
100.284253,5.323692,0
100.283956,5.323713,0
100.283325,5.323724,0
100.282131,5.323774,0
100.281904,5.323769,0
100.281683,5.323632,0
100.281548,5.323483,0
100.28151,5.321919,0
100.281442,5.320589,0
100.280411,5.320703,0
100.2795,5.320861,0
100.277024,5.32217,0
100.275599,5.32281,0
100.27429,5.323456,0
100.273311,5.323981,0
100.272796,5.324223,0
100.272664,5.324259,0
100.272207,5.324259,0
100.27205,5.324149,0
100.271926,5.323969,0
100.271959,5.323537,0
100.271921,5.323316,0
100.271678,5.322438,0
100.271508,5.321706,0
100.271345,5.320758,0
100.271165,5.320205,0
100.271048,5.319946,0
100.270808,5.319647,0
100.270596,5.319463,0
100.270231,5.319238,0
100.270007,5.319081,0
100.269689,5.318896,0
100.269219,5.318694,0
100.26906,5.318589,0
100.268922,5.31846,0
100.26864,5.31807,0
100.268137,5.317233,0
100.267843,5.316837,0
100.267141,5.315991,0
100.266848,5.315616,0
100.266594,5.31534,0
100.266434,5.315141,0
100.266221,5.314869,0
100.266062,5.314622,0
100.265984,5.31444,0
100.265946,5.314308,0
100.265872,5.313915,0
100.26582,5.313154,0
100.265809,5.312656,0
100.265882,5.311656,0
100.265872,5.311239,0
100.26582,5.310721,0
100.265762,5.310379,0
100.265672,5.309997,0
100.265539,5.309562,0
100.265207,5.308696,0
100.264701,5.307563,0
100.264591,5.307271,0
100.264583,5.307187,0
100.264299,5.306554,0
100.26333,5.3051,0
100.262403,5.303789,0
100.262165,5.303408,0
100.262027,5.303071,0
100.261975,5.30288,0
100.261951,5.30264,0
100.261956,5.302395,0
100.261975,5.302176,0
100.262015,5.301962,0
100.262116,5.301147,0
100.262204,5.300759,0
100.262177,5.30068,0
100.262224,5.299937,0
100.262218,5.299728,0
100.262183,5.299526,0
100.262002,5.299159,0
100.261707,5.298405,0
100.261408,5.297897,0
100.261175,5.297567,0
100.261047,5.297425,0
100.260736,5.297106,0
100.260647,5.297026,0
100.260521,5.29695,0
100.260262,5.296842,0
100.260022,5.296772,0
100.259711,5.296712,0
100.259538,5.296641,0
100.259265,5.296563,0
100.25904,5.296518,0
100.258895,5.296505,0
100.258763,5.296507,0
100.258635,5.296534,0
100.258342,5.296683,0
100.258198,5.296809,0
100.257528,5.2976,0
100.257394,5.29772,0
100.257288,5.297757,0
100.257151,5.297749,0
100.256869,5.297627,0
100.256735,5.297552,0
100.256639,5.297462,0
100.25653,5.297273,0
100.25611,5.2964,0
100.2561,5.29635,0
100.256109,5.296241,0
100.256145,5.296165,0
100.256458,5.295789,0
100.256901,5.295221,0
100.256972,5.29511,0
100.256974,5.295007,0
100.256958,5.294958,0
100.256701,5.294431,0
100.255605,5.294301,0
100.255438,5.294256,0
100.254854,5.294042,0
100.254592,5.293978,0
100.254427,5.293978,0
100.254017,5.29405,0
100.253325,5.294144,0
100.253084,5.294135,0
100.252688,5.293942,0
100.252516,5.293895,0
100.252047,5.293804,0
100.251887,5.293751,0
100.251719,5.29367,0
100.251393,5.293492,0
100.251288,5.293423,0
100.251206,5.293345,0
100.251148,5.293256,0
100.251091,5.293124,0
100.251012,5.292768,0
100.250958,5.29262,0
100.250886,5.292493,0
100.250441,5.291848,0
100.250094,5.291441,0
100.24974,5.291062,0
100.249643,5.290902,0
100.249207,5.289966,0
100.249058,5.289731,0
